from,to,same_frequency,frequency_Hz,M_uH,k_effective,P_from_to_W,Q_from_to_VAR,S_from_to_VA,P_to_from_W,Q_to_from_VAR,S_to_from_VA,Pmax_matched_from_to_W,Pmax_matched_to_from_W,omega_rad_s
A4_C4,B4_C4,True,128000.0,13.926057520540843,0.028,-7.6069899431269254,-24.400556809028867,25.55882369330559,7.606989943126925,-24.400556809028867,25.55882369330559,2.850314132949569,4.492055046236521,804247.719318987
A4_C4,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.3585173938430573,6.018791447130839,6.892422619718099,3.358517393843057,6.018791447130838,6.892422619718098,0.3141162513862791,0.3266684134162371,804247.719318987
A4_C5,A4_C6,True,128000.0,1.2433979929054324,0.0025,-4.80174486828534e-15,1.8211138379335832,1.8211138379335832,4.7929161799102376e-15,1.8211138379335832,1.8211138379335832,0.02276392297416984,0.022763922974169744,804247.719318987
A4_C5,A4_C7,True,128000.0,1.2433979929054324,0.0025,3.3660978571037283e-15,1.8211138379335874,1.8211138379335874,-3.37039852241331e-15,1.8211138379335874,1.8211138379335874,0.02276392297416984,0.022763922974169848,804247.719318987
A4_C5,A4_C8,True,128000.0,1.2433979929054324,0.0025,-1.6338907395374428e-15,1.821113837933583,1.821113837933583,1.6362799393549292e-15,1.821113837933583,1.821113837933583,0.02276392297416984,0.022763922974169733,804247.719318987
A4_C5,B4_C5,True,128000.0,13.926057520540843,0.028,-7.6073555832856465,-24.441979256478003,25.598480598360684,7.6073555832856465,-24.441979256478,25.59848059836068,2.8555064978798645,4.497811966056136,804247.719318987
A4_C5,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.355978115944352,6.0273908395218685,6.898697663113635,3.355978115944352,6.027390839521868,6.8986976631136345,0.3146884711949239,0.3266684134162371,804247.719318987
A4_C6,A4_C7,True,128000.0,1.2433979929054324,0.0025,8.15877784653374e-15,1.8211138379335832,1.8211138379335832,-8.17237958117887e-15,1.8211138379335832,1.8211138379335832,0.022763922974169744,0.022763922974169848,804247.719318987
A4_C6,A4_C8,True,128000.0,1.2433979929054324,0.0025,3.158789249892558e-15,1.821113837933579,1.821113837933579,-3.165701119410641e-15,1.821113837933579,1.821113837933579,0.022763922974169744,0.022763922974169733,804247.719318987
A4_C6,B4_C6,True,128000.0,13.926057520540843,0.028,-7.607355583285783,-24.441979256477918,25.59848059836064,7.607355583285783,-24.441979256477918,25.59848059836064,2.855506497879852,4.497811966056141,804247.719318987
A4_C6,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.3559781159443283,6.027390839521863,6.898697663113619,3.3559781159443287,6.027390839521863,6.89869766311362,0.3146884711949225,0.3266684134162371,804247.719318987
A4_C7,A4_C8,True,128000.0,1.2433979929054324,0.0025,-5.004525452430972e-15,1.8211138379335834,1.8211138379335834,5.0021416059784315e-15,1.8211138379335834,1.8211138379335834,0.022763922974169848,0.022763922974169733,804247.719318987
A4_C7,B4_C7,True,128000.0,13.926057520540843,0.028,-7.607355583285604,-24.441979256478,25.59848059836067,7.607355583285605,-24.441979256478,25.59848059836067,2.8555064978798645,4.497811966056129,804247.719318987
A4_C7,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.355978115944364,6.027390839521862,6.898697663113636,3.355978115944364,6.027390839521862,6.898697663113636,0.314688471194924,0.3266684134162371,804247.719318987
A4_C8,B4_C8,True,128000.0,13.926057520540843,0.028,-7.607355583285738,-24.44197925647791,25.59848059836062,7.607355583285738,-24.441979256477914,25.598480598360627,2.855506497879851,4.497811966056136,804247.719318987
A4_C8,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.355978115944339,6.027390839521857,6.8986976631136185,3.355978115944339,6.027390839521857,6.8986976631136185,0.3146884711949224,0.3266684134162371,804247.719318987
B4_C1,B4_C2,True,128000.0,1.2433979929054324,0.0025,1.5972073123047325e-16,2.8648306197681452,2.8648306197681452,-7.891219913039489e-17,2.8648306197681452,2.8648306197681452,0.035810382747101785,0.03581038274710185,804247.719318987
B4_C1,B4_C3,True,128000.0,1.2433979929054324,0.0025,-3.615397230321359e-07,2.864830822076807,2.86483082207683,3.6153972305400073e-07,2.864830822076807,2.86483082207683,0.035810382747101785,0.03581038780481914,804247.719318987
B4_C1,B4_C4,True,128000.0,1.2433979929054324,0.0025,-3.615397193676692e-07,2.86483082207681,2.8648308220768333,3.615397193525471e-07,2.86483082207681,2.8648308220768333,0.035810382747101785,0.035810387804819224,804247.719318987
B4_C1,B4_C5,True,128000.0,1.2433979929054324,0.0025,-0.004004517970839351,2.8666631896448225,2.8666659866522304,0.004004517970839365,2.8666631896448225,2.8666659866522304,0.035810382747101785,0.03585628161715669,804247.719318987
B4_C1,B4_C6,True,128000.0,1.2433979929054324,0.0025,-0.00400451797082947,2.8666631896448243,2.866665986652232,0.004004517970829508,2.8666631896448243,2.866665986652232,0.035810382747101785,0.035856281617156746,804247.719318987
B4_C1,B4_C7,True,128000.0,1.2433979929054324,0.0025,-0.004004517970838537,2.8666631896448207,2.8666659866522286,0.004004517970838571,2.8666631896448207,2.8666659866522286,0.035810382747101785,0.03585628161715665,804247.719318987
B4_C1,B4_C8,True,128000.0,1.2433979929054324,0.0025,-0.004004517970829322,2.8666631896448225,2.8666659866522304,0.004004517970829359,2.8666631896448225,2.8666659866522304,0.035810382747101785,0.03585628161715669,804247.719318987
B4_C1,B3_C1,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_C1,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.123213776533248,6.015868683925693,11.775828344011746,10.123213776533248,6.015868683925693,11.775828344011746,0.49504273109593505,0.6050538041881393,804247.719318987
B4_C2,B4_C3,True,128000.0,1.2433979929054324,0.0025,-3.6153972312188666e-07,2.86483082207681,2.8648308220768333,3.6153972320288323e-07,2.86483082207681,2.8648308220768333,0.03581038274710185,0.03581038780481914,804247.719318987
B4_C2,B4_C4,True,128000.0,1.2433979929054324,0.0025,-3.6153971945741995e-07,2.864830822076813,2.864830822076836,3.615397195014296e-07,2.864830822076813,2.864830822076836,0.03581038274710185,0.035810387804819224,804247.719318987
B4_C2,B4_C5,True,128000.0,1.2433979929054324,0.0025,-0.004004517970839552,2.866663189644825,2.866665986652233,0.004004517970839517,2.866663189644825,2.866665986652233,0.03581038274710185,0.03585628161715669,804247.719318987
B4_C2,B4_C6,True,128000.0,1.2433979929054324,0.0025,-0.004004517970829671,2.8666631896448274,2.8666659866522353,0.00400451797082966,2.8666631896448274,2.8666659866522353,0.03581038274710185,0.035856281617156746,804247.719318987
B4_C2,B4_C7,True,128000.0,1.2433979929054324,0.0025,-0.004004517970838627,2.8666631896448234,2.8666659866522313,0.004004517970838724,2.8666631896448234,2.8666659866522313,0.03581038274710185,0.03585628161715665,804247.719318987
B4_C2,B4_C8,True,128000.0,1.2433979929054324,0.0025,-0.0040045179708294125,2.866663189644825,2.866665986652233,0.004004517970829511,2.866663189644825,2.866665986652233,0.03581038274710185,0.03585628161715669,804247.719318987
B4_C2,B3_C2,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B4_C2,U_B,True,128000.0,2.567629490508004,0.012000000000000002,-10.123213776533257,6.015868683925698,11.775828344011755,10.123213776533257,6.0158686839256985,11.775828344011757,0.495042731095936,0.6050538041881393,804247.719318987
B4_C3,B4_C4,True,128000.0,1.2433979929054324,0.0025,3.7423546096255835e-15,2.8648310243855346,2.8648310243855346,-3.7345886416314354e-15,2.8648310243855346,2.8648310243855346,0.03581038780481914,0.035810387804819224,804247.719318987
B4_C3,B4_C5,True,128000.0,1.2433979929054324,0.0025,-0.004004156482638337,2.8666633925882667,2.8666661890905276,0.004004156482638327,2.8666633925882667,2.8666661890905276,0.03581038780481914,0.03585628161715669,804247.719318987
B4_C3,B4_C6,True,128000.0,1.2433979929054324,0.0025,-0.004004156482628456,2.866663392588269,2.86666618909053,0.004004156482628469,2.866663392588269,2.86666618909053,0.03581038780481914,0.035856281617156746,804247.719318987
B4_C3,B4_C7,True,128000.0,1.2433979929054324,0.0025,-0.004004156482637524,2.8666633925882654,2.8666661890905263,0.004004156482637533,2.8666633925882654,2.8666661890905263,0.03581038780481914,0.03585628161715665,804247.719318987
